PRD_NAME,PRD_BRAND,INGREDIENT,PRICE,CATEGORY,BAUMANN_ID
VT PDRN 에센스 100,VT,"""정제수, 다이프로필렌글라이콜, 글리세린, 나이아신아마이드, 부틸렌글라이콜, 마카다미아씨오일, 병풀추출물 등""",45000 ,앰플,25
"나노레시피 바쿠치올 10,000ppm 앰플",나노레시피,"""부틸렌글라이콜, 바쿠치올(10,000ppm)""",10800 ,앰플,24
넘버즈인 1번 진정 맑게담은 청초토너,넘버즈인,"""정제수, 1,2-헥산다이올, 다이프로필렌글라이콜, 프로판다이올, 부틸렌글라이콜, 글리세린, 감초뿌리추출물, 약모밀추출물, 병풀추출물 등""",40000 ,토너,46
눅스 레브드미엘 원스텝 클렌징 젤,눅스,"""정제수, 글리세린, 소듐라우로일사코시네이트, 꿀, 선플라워씨드오일, 소듐코코암포아세테이트 등""",26100 ,클렌징,24
눅스 슈퍼 세럼 10,눅스,"""정제수, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 베타인, 프로판다이올, 나이아신아마이드, 에델바이스캘러스배양추출물 등""",129000 ,앰플,25
닥터디퍼런트 비타아크날 트러블 클렌징 폼,닥터디퍼런트,"""정제수, 글리세린, 소듐코코일글라이시네이트, 소듐코코일글루타메이트, 부틸렌글라이콜, 살리실릭애씨드 등""",17250 ,클렌징,37
닥터멜락신 비피 포어 앰플,닥터멜라신,"""버지니아풍년화잎수, 부틸렌글라이콜, 알로에베라잎추출물, 프로판다이올, 글리세린, 나이아신아마이드, 판테놀, 세라마이드엔피 등""",22900 ,앰플,46
닥터자르트 시카페어 인텐시브 수딩 리페어 크림,닥터자르트,"""정제수, 세테아릴알코올, 병풀잎추출물, 시어버터, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드, 세라마이드엔피 등""",42500 ,크림,58
닥터지 더모이스처 배리어 D 인텐스 크림,닥터지,"""정제수, 글리세린, 프로판다이올, 스쿠알란, 세라마이드엔피, 콜레스테롤, 잔탄검 등""",22800 ,크림,24
닥터지 레드 블레미쉬 클리어 모이스처 토너,닥터지,"""병풀추출물, 정제수, 부틸렌글라이콜, 프로판다이올, 판테놀, 소듐하이알루로네이트, 마데카소사이드, 세라마이드엔피 등""",32000 ,토너,60
달바 비타 토닝 세럼 로션,달바,"""비타민나무수(596,692ppm), 글리세린, 나이아신아마이드(20,000ppm), 비타민나무오일, 판테놀, 토코페롤 등""",33600 ,로션,19
더바디샵 티트리 스킨 클리어링 데일리 솔루션,더바디샵,"""정제수, 변성알코올, 글리세린, 티트리잎오일, 살리실릭애씨드, 소듐하이알루로네이트 등""",42000 ,앰플,37
라로슈포제 에빠끌라 딥클렌징 포밍크림,라로슈포제,"""정제수, 글리세린, 미리스틱애씨드, 포타슘하이드록사이드, 스테아릭애씨드, 살리실릭애씨드 등""",21500 ,클렌징,37
라운드랩 1025 독도 로션,라운드랩,"""정제수, 글리세린, 퀸즈랜드넛오일, 아이리쉬모스추출물, 사탕수수추출물, 해수, 하이알루로닉애씨드, 판테놀, 스쿠알란 등""",39000 ,로션,24
라운드랩 소나무 진정 시카 로션,라운드랩,"""정제수, 프로판다이올, 글리세린, 하이알루로닉애씨드, 소나무잎추출물(5,012ppm), 병풀추출물(61.12ppm), 아시아티코사이드, 마데카소사이드 등""",21200 ,로션,60
라운드랩 자작나무 수분 앰플,라운드랩,"""정제수, 부틸렌글라이콜, 글리세린, 자작나무수액(10,230ppm), 하이알루로닉애씨드, 세라마이드엔피 등""",28000 ,앰플,24
라운드랩 자작나무 수분 토너,라운드랩,"""정제수, 글리세린, 프로판다이올, 자작나무수액(10,000ppm), 아이리쉬모스추출물, 소듐하이알루로네이트, 판테놀 등""",24000 ,토너,24
라운드랩 포 맨 자작나무 수분 로션,라운드랩,"""정제수, 부틸렌글라이콜, 글리세린, 자작나무수액(10,967ppm), 베타인, 스쿠알란, 소듐하이알루로네이트 등""",17000 ,로션,51
리얼베리어 익스트림 로션,리얼베리어,"""정제수, 글리세린, 프로판다이올, 카프릴릭/카프릭트라이글리세라이드, 솔비탄스테아레이트, 펜타에리스리틸스테아레이트/카프레이트/카프릴레이트/아디페이트, 글리세릴스테아레이트, 미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이, 부틸렌글라이콜, 다이메티콘, 토코페롤, 카보머, 알지닌, 알란토인, 잇꽃씨오일, 판테놀, 솔비탄라우레이트, 해바라기씨오일, 소듐하이알루로네이트, 하이드록시에틸셀룰로오스, 아세틸다이펩타이드-1세틸에스터, 광곽향오일, 살비아오일, 소두구씨오일, 다이하이드록시아이소프로필팔모일팜아마이드, 마데카소사이드, 비스-카프릴로일옥시팔미타미도아이소프로판올, 스테아릭애씨드, 엑토인, 피토스테롤 등""",30000 ,로션,24
마녀공장 비피다 바이옴 앰플 로션,마녀공장,"""정제수, 글리세린, 나이아신아마이드, 카프릴릭/카프릭트라이글리세라이드, 비피다발효용해물(568ppm), 소듐하이알루로네이트 등""",19900 ,로션,25
마녀공장 비피다 바이옴 앰플 토너,마녀공장,"""정제수, 부틸렌글라이콜, 글리세린, 프로판다이올, 비피다발효용해물(38ppm), 세라마이드엔피 등""",25000 ,토너,25
마녀공장 비피다 바이옴 콤플렉스 앰플,마녀공장,"""정제수, 부틸렌글라이콜, 비피다발효용해물(3%), 글리세린, 나이아신아마이드, 스쿠알란, 소듐하이알루로네이트, 세라마이드엔피 등""",23000 ,앰플,25
메디큐브 연어 PDRN 핑크 앰플,메디큐브,"""정제수, 글리세린, 나이아신아마이드, 소듐디엔에이, 하이드롤라이즈드콜라겐, 연어알추출물 등""",24800 ,앰플,73
바이오더마 세비엄 H2O,바이오더마,"""정제수, 피이지-6카프릴릭/카프릭글리세라이즈, 소듐시트레이트, 징크글루코네이트, 프룩토올리고사카라이드 등""",16900 ,클렌징,37
바이오더마 센시비오 디펜시브 세럼,바이오더마,"""정제수, 글리세린, 부틸렌글라이콜, 스쿠알란, 카르노신, 토코페롤, 하이드롤라이즈드하이알루로닉애씨드 등""",48000 ,앰플,58
바이오힐 보 프로바이오덤 콜라겐 리모델링 크림,바이오힐보,"""정제수, 글리세린, 락토바실러스발효물, 콜라겐(40ppm), 세라마이드엔피 등""",28500 ,크림,25
브링그린 티트리 시카 수딩 토너,브링그린,"""정제수, 다이프로필렌글라이콜, 티트리추출물, 티트리잎수, 베타인, 판테놀, 티트리잎오일, 병풀추출물 등""",27000 ,토너,60
성분에디터 실크펩타이드 EGF 하트핏 볼륨 리프팅 앰플,성분에디터,"""실크수, 부틸렌글라이콜, 정제수, 글리세린, 나이아신아마이드, 하이드롤라이즈드콜라겐, 각종 펩타이드 복합체 등""",37000 ,앰플,25
셀퓨전씨 약산성 패리어 클렌징 워터,셀퓨전씨,"""정제수, 다이프로필렌글라이콜, 레몬밤잎추출물, 비누풀잎추출물, 트레할로오스, 판테놀 등""",13900 ,클렌징,24
스킨푸드 유자씨 잡티 맑음 세럼,스킨푸드,"""유자추출물, 정제수, 나이아신아마이드, 글리세린, 소듐아스코빌포스페이트, 판테놀, 유자껍질추출물 등""",27000 ,앰플,75
싸이닉 더 심플 데일리 로션,싸이닉,"""정제수, 프로판다이올, 펜틸렌글라이콜, 글리세린, 알바수련꽃추출물, 알로에베라잎즙, 마데카소사이드, 소듐하이알루로네이트 등""",18000 ,로션,24
아누아 어성초 77 수딩 토너,아누아,"""약모밀꽃/잎/줄기수(77%), 정제수, 글리세린, 베타인, 판테놀, 병풀추출물, 소듐하이알루로네이트 등""",49000 ,토너,60
아누아 어성초 센텔라 레드 스팟 크림,아누아,"""정제수, 약모밀꽃/잎/줄기수, 글리세린, 부틸렌글라이콜, 판테놀, 나이아신아마이드, 마데카식애씨드, 아시아티코사이드, 세라마이드엔피 등""",25000 ,크림,60
아렌시아 레드 스무디 로션,아렌시아,"""정제수, 글리세린, 나이아신아마이드, 카프릴릭/카프릭트라이글리세라이드, 한련초추출물, 하이드롤라이즈드콜라겐 등""",23400 ,로션,25
아벤느 미셀라 클렌징 워터,아벤느,"""온천수(아벤느 온천수), 글리세린, 펜틸렌글라이콜, 코코-글루코사이드, 트레할로오스, 정제수 등""",27000 ,클렌징,24
